,movieID,title,genres,imdb_url,title_noyear,imdb_rating,certification,runtime,genre,release_date,color,country,language,production_company,cast
14,15,Cutthroat Island (1995),Action|Adventure|Romance,http://www.imdb.com/title/tt0112760/,Cutthroat Island (1995),5.6,PG-13,PT2H4M,"['Action', 'Adventure', 'Comedy']",1995-12-22,Color,"['France', 'Italy', 'Germany', 'USA']",['English'],"[' Beckner/Gorman Productions', ' Canal+', ' Carolco Pictures']","{'director': ['Renny Harlin'], 'creator': ['Michael Frost Beckner', 'James Gorman', 'Bruce A. Evans', 'Raynold Gideon', 'Robert King', 'Marc Norman'], 'actor': ['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']}"
15,16,Casino (1995),Drama|Thriller,http://www.imdb.com/title/tt0112641/,Casino (1995),8.2,R,PT2H58M,"['Crime', 'Drama']",1995-11-22,Color,"['USA', 'France']",['English'],"[' Universal Pictures', ' Syalis DA', ' Légende Entreprises']","{'director': ['Martin Scorsese'], 'creator': ['Nicholas Pileggi', 'Nicholas Pileggi', 'Martin Scorsese'], 'actor': ['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']}"
16,17,Sense and Sensibility (1995),Drama|Romance,http://www.imdb.com/title/tt0114388/,Sense and Sensibility (1995),7.7,PG,PT2H16M,"['Drama', 'Romance']",1995-12-13,Color,"['USA', 'UK']","['English', 'French']","[' Columbia Pictures', ' Mirage Enterprises']","{'director': ['Ang Lee'], 'creator': ['Jane Austen', 'Emma Thompson'], 'actor': ['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']}"
17,18,Four Rooms (1995),Thriller,http://www.imdb.com/title/tt0113101/,Four Rooms (1995),6.8,R,PT1H38M,Comedy,1995-12-09,Color,['USA'],['English'],"[' Miramax', ' A Band Apart']","{'director': ['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino'], 'creator': ['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino'], 'actor': ['Tim Roth', 'Antonio Banderas', 'Sammi Davis', 'Amanda De Cadenet']}"
18,19,Ace Ventura: When Nature Calls (1995),Comedy,http://www.imdb.com/title/tt0112281/,Ace Ventura: When Nature Calls (1995),6.4,PG-13,PT1H30M,"['Adventure', 'Comedy', 'Crime']",1995-11-10,Color,['USA'],['English'],"[' Morgan Creek Entertainment', ' O Entertainment']","{'director': ['Steve Oedekerk'], 'creator': ['Jack Bernstein', 'Steve Oedekerk'], 'actor': ['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi']}"
19,20,Money Train (1995),Action,http://www.imdb.com/title/tt0113845/,Money Train (1995),5.6,R,PT1H50M,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995-11-22,Color,['USA'],['English'],"[' Columbia Pictures', ' Peters Entertainment']","{'director': ['Joseph Ruben'], 'creator': ['Doug Richardson', 'Doug Richardson', 'David Loughery'], 'actor': ['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake']}"
20,21,Get Shorty (1995),Action|Comedy|Drama,http://www.imdb.com/title/tt0113161/,Get Shorty (1995),6.9,R,PT1H45M,"['Comedy', 'Crime', 'Thriller']",1995-10-20,Color,['USA'],['English'],"[' Metro-Goldwyn-Mayer (MGM)', ' Jersey Films']","{'director': ['Barry Sonnenfeld'], 'creator': ['Elmore Leonard', 'Scott Frank'], 'actor': ['Gene Hackman', 'Rene Russo', 'Danny DeVito', 'John Travolta']}"
21,22,Copycat (1995),Crime|Drama|Thriller,http://www.imdb.com/title/tt0112722/,Copycat (1995),6.6,R,PT2H3M,"['Drama', 'Mystery', 'Thriller']",1995-10-27,Color,['USA'],['English'],"[' Regency Enterprises', ' New Regency Pictures', ' Isobel Griffiths Limited']","{'director': ['Jon Amiel'], 'creator': ['Ann Biderman', 'David Madsen'], 'actor': ['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara']}"
22,23,Assassins (1995),Thriller,http://www.imdb.com/title/tt0112401/,Assassins (1995),6.3,R,PT2H12M,"['Action', 'Crime', 'Thriller']",1995-10-06,Black and White,"['France', 'USA']","['English', 'Dutch', 'Spanish']","[' Warner Bros.', ' Silver Pictures', ' Donner/Shuler-Donner Productions']","{'director': ['Richard Donner'], 'creator': ['Lilly Wachowski', 'Lana Wachowski', 'Lilly Wachowski', 'Lana Wachowski', 'Brian Helgeland'], 'actor': ['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov']}"
23,24,Powder (1995),Drama|Sci-Fi,http://www.imdb.com/title/tt0114168/,Powder (1995),6.6,PG-13,PT1H51M,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",1995-10-27,Color,['USA'],['English'],"[' Caravan Pictures', ' Daniel Grodnik Productions', ' Hollywood Pictures']","{'director': ['Victor Salva'], 'creator': ['Victor Salva'], 'actor': ['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum']}"
24,25,Leaving Las Vegas (1995),Drama|Romance,http://www.imdb.com/title/tt0113627/,Leaving Las Vegas (1995),7.5,R,PT1H51M,"['Drama', 'Romance']",1995-12-01,Color,"['France', 'UK', 'USA']","['English', 'Russian']","[' Lumiere Pictures', ' A Lila Cazès Production', ' Initial Productions']","{'director': ['Mike Figgis'], 'creator': [""John O'Brien"", 'Mike Figgis'], 'actor': ['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis']}"
25,26,Othello (1995),Drama,http://www.imdb.com/title/tt0114057/,Othello (1995),6.9,R,PT2H3M,"['Drama', 'Romance']",1996-01-19,Color,"['USA', 'UK']",['English'],"[' Castle Rock Entertainment', ' Dakota Films', ' Imminent Film Productions']","{'director': ['Oliver Parker'], 'creator': ['Oliver Parker', 'William Shakespeare'], 'actor': ['Laurence Fishburne', 'Kenneth Branagh', 'Irène Jacob', 'Nathaniel Parker']}"
26,27,Now and Then (1995),Drama,http://www.imdb.com/title/tt0114011/,Now and Then (1995),6.8,PG-13,PT1H40M,"['Comedy', 'Drama', 'Romance']",1995-10-20,Color,['USA'],['English'],"[' New Line Cinema', ' Moving Pictures (I)', ' First Independent Films']","{'director': ['Lesli Linka Glatter'], 'creator': ['I. Marlene King'], 'actor': ['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell"", 'Thora Birch']}"
27,28,Persuasion ,Romance,http://www.imdb.com/title/tt0114117/,Persuasion (1995),7.7,PG,107 min,Drama,1995-04-16,Color,"['UK', 'USA', 'France']",['English'],"[' BBC Films', ' Millésime Productions', ' WGBH']","{'director': ['Roger Michell'], 'creator': ['Jane Austen', 'Nick Dear'], 'actor': ['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Corin Redgrave']}"
28,29,La cité des enfants perdus (1995),Adventure|Sci-Fi,http://www.imdb.com/title/tt0112682/,"City of Lost Children, The (1995)",7.6,R,PT1H52M,"['Fantasy', 'Sci-Fi']",1995-05-17,Color,"['France', 'Germany', 'Spain', 'Belgium', 'USA']","['French', 'Cantonese']","["" Club d'Investissement Média"", ' Eurimages', ' Studio Image']","{'director': ['Marc Caro', 'Jean-Pierre Jeunet'], 'creator': ['Gilles Adrien', 'Jean-Pierre Jeunet', 'Marc Caro', 'Gilles Adrien', 'Guillaume Laurant', 'Jean-Pierre Jeunet'], 'actor': ['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet', 'Dominique Pinon']}"
29,30,,Drama,,Shanghai Triad (Yao a yao yao dao waipo qiao),,,,,,,,,,
30,31,Dangerous Minds (1995),Drama,http://www.imdb.com/title/tt0112792/,Dangerous Minds (1995),6.5,R,PT1H39M,"['Biography', 'Drama']",1995-08-11,Color,['USA'],['English'],"[' Hollywood Pictures', ' Don Simpson/Jerry Bruckheimer Films', ' Via Rosa Productions']","{'director': ['John N. Smith'], 'creator': ['LouAnne Johnson', 'Ronald Bass'], 'actor': ['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett']}"
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,http://www.imdb.com/title/tt0114746/,Twelve Monkeys (1995),8,R,PT2H9M,"['Mystery', 'Sci-Fi', 'Thriller']",1996-01-05,Color,['USA'],"['English', 'French']","[' Universal Pictures', ' Atlas Entertainment', ' Classico']","{'director': ['Terry Gilliam'], 'creator': ['Chris Marker', 'David Webb Peoples', 'Janet Peoples'], 'actor': ['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito']}"
32,33,Wings of Courage (1995),Adventure|Romance,http://www.imdb.com/title/tt0114952/,Wings of Courage (1995),6.5,G,PT40M,"['Adventure', 'Romance']",1996-09-18,Color,"['France', 'USA']",['English'],[' Iwerks Entertainment'],"{'director': ['Jean-Jacques Annaud'], 'creator': ['Alain Godard', 'Jean-Jacques Annaud'], 'actor': ['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce', 'Val Kilmer']}"
33,34,Babe (1995),Children's|Comedy|Drama,http://www.imdb.com/title/tt0112431/,Babe (1995),6.8,G,PT1H31M,"['Comedy', 'Drama', 'Family']",1995-08-04,Color,"['Australia', 'USA']",['English'],"[' Universal Pictures', ' Kennedy Miller Productions']","{'director': ['Chris Noonan'], 'creator': ['Dick King-Smith', 'George Miller', 'Chris Noonan'], 'actor': ['James Cromwell', 'Magda Szubanski', 'Christine Cavanaugh', 'Miriam Margolyes']}"
34,35,Carrington (1995),Drama|Romance,http://www.imdb.com/title/tt0112637/,Carrington (1995),6.8,R,PT2H1M,"['Biography', 'Drama', 'Romance']",1995-05-02,Color,"['UK', 'France']",['English'],"[' PolyGram Filmed Entertainment', ' Freeway Films', ' Cinéa']","{'director': ['Christopher Hampton'], 'creator': ['Christopher Hampton', 'Michael Holroyd'], 'actor': ['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West']}"
35,36,Dead Man Walking (1995),Drama,http://www.imdb.com/title/tt0112818/,Dead Man Walking (1995),7.5,R,PT2H2M,"['Crime', 'Drama']",1996-02-02,Color,"['UK', 'USA']",['English'],"[' Havoc', ' Polygram Filmed Entertainment', ' Working Title Films']","{'director': ['Tim Robbins'], 'creator': ['Helen Prejean', 'Tim Robbins'], 'actor': ['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry']}"
36,37,Across the Sea of Time (1995),Documentary,http://www.imdb.com/title/tt0112286/,Across the Sea of Time (1995),6.4,G,PT51M,"['Adventure', 'Drama', 'Family', 'History']",1995-10-20,Color,['USA'],"['English', 'Russian']",[' Sony New Technologies'],"{'director': ['Stephen Low'], 'creator': ['Andrew Gellis'], 'actor': ['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Victor Steinbach']}"
37,38,It Takes Two (1995),Comedy,http://www.imdb.com/title/tt0113442/,It Takes Two (1995),5.9,PG,PT1H41M,"['Comedy', 'Family', 'Romance']",1995-11-17,Color,['USA'],['English'],"[' Dualstar Productions', ' Orr & Cruickshank', ' Rysher Entertainment']","{'director': ['Andy Tennant'], 'creator': ['Deborah Dean Davis'], 'actor': ['Kirstie Alley', 'Steve Guttenberg', 'Mary-Kate Olsen', 'Ashley Olsen']}"
38,39,Clueless (1995),Comedy|Romance,http://www.imdb.com/title/tt0112697/,Clueless (1995),6.8,PG-13,PT1H37M,"['Comedy', 'Romance']",1995-07-19,Color,['USA'],"['English', 'Spanish']",[' Paramount Pictures'],"{'director': ['Amy Heckerling'], 'creator': ['Amy Heckerling'], 'actor': ['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']}"
39,40,"Cry, the Beloved Country (1995) ",Drama,http://www.imdb.com/title/tt0112749/,"Cry, the Beloved Country (1995)",6.9,PG-13,PT1H46M,"['Drama', 'Thriller']",1995-10-27,Color,"['South Africa', 'USA']",['English'],"[' Alpine Pty Limited', ' Distant Horizon', ' Miramax']","{'director': ['Darrell Roodt'], 'creator': ['Ronald Harwood', 'Alan Paton'], 'actor': ['Richard Harris', 'James Earl Jones', 'Vusi Kunene', 'Charles S. Dutton']}"
40,41,Richard III (1995),Drama|War,http://www.imdb.com/title/tt0114279/,Richard III (1995),7.5,R,PT1H50M,"['Drama', 'Sci-Fi', 'War']",1995-08-20,Color,"['UK', 'USA']",['English'],"[' Mayfair Entertainment International', ' British Screen Productions', ' Bayly/Paré Productions']","{'director': ['Richard Loncraine'], 'creator': ['William Shakespeare', 'Ian McKellen', 'Richard Loncraine'], 'actor': ['Ian McKellen', 'Annette Bening', 'Christopher Bowen', 'Edward Jewesbury']}"
41,42,Dead Presidents (1995),Action|Crime|Drama,http://www.imdb.com/title/tt0112819/,Dead Presidents (1995),6.9,R,PT1H59M,"['Action', 'Crime', 'Drama', 'Thriller', 'War']",1995-10-06,Color,['USA'],['English'],"[' Caravan Pictures', ' Hollywood Pictures', ' Underworld Entertainment']","{'director': ['Albert Hughes', 'Allen Hughes'], 'creator': ['Allen Hughes', 'Albert Hughes', 'Michael Henry Brown', 'Michael Henry Brown', 'Wallace Terry'], 'actor': ['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']}"
42,43,Restoration (1995),Drama,http://www.imdb.com/title/tt0114272/,Restoration (1995),6.7,R,PT1H57M,"['Biography', 'Drama', 'History', 'Romance']",1996-02-02,Color,"['USA', 'UK']","['English', 'Latin']","[' Avenue Pictures', ' Miramax', ' Segue Productions']","{'director': ['Michael Hoffman'], 'creator': ['Rose Tremain', 'Rupert Walters'], 'actor': ['Robert Downey Jr.', 'Sam Neill', 'David Thewlis', 'Polly Walker']}"
43,44,Mortal Kombat (1995),Action|Adventure,http://www.imdb.com/title/tt0113855/,Mortal Kombat (1995),5.8,PG-13,PT1H41M,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",1995-07-13,Color,['USA'],['English'],"[' New Line Cinema', ' Threshold Entertainment']","{'director': ['Paul W.S. Anderson'], 'creator': ['Ed Boon', 'John Tobias', 'Kevin Droney'], 'actor': ['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa']}"
44,45,To Die For (1995),Comedy|Drama,http://www.imdb.com/title/tt0114681/,To Die For (1995),6.8,R,PT1H46M,"['Comedy', 'Crime', 'Drama', 'Thriller']",1995-09-22,Color,"['USA', 'UK', 'Canada']",['English'],"[' Columbia Pictures', ' Laura Ziskin Productions', ' The Rank Organisation']","{'director': ['Gus Van Sant'], 'creator': ['Joyce Maynard', 'Buck Henry'], 'actor': ['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck']}"
45,46,How to Make an American Quilt (1995),Drama|Romance,http://www.imdb.com/title/tt0113347/,How to Make an American Quilt (1995),6.2,PG-13,PT1H57M,"['Comedy', 'Drama', 'Romance']",1995-10-06,Color,['USA'],['English'],"[' Universal Pictures', ' Amblin Entertainment']","{'director': ['Jocelyn Moorhouse'], 'creator': ['Whitney Otto', 'Jane Anderson'], 'actor': ['Winona Ryder', 'Ellen Burstyn', 'Anne Bancroft', 'Kaelynn Craddick']}"
46,47,Se7en (1995),Crime|Thriller,http://www.imdb.com/title/tt0114369/,Seven (Se7en) (1995),8.6,R,PT2H7M,"['Crime', 'Drama', 'Mystery', 'Thriller']",1995-09-22,Color,['USA'],['English'],"[' Cecchi Gori Pictures', ' Juno Pix', ' New Line Cinema']","{'director': ['David Fincher'], 'creator': ['Andrew Kevin Walker'], 'actor': ['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']}"
47,48,Pocahontas (1995),Animation|Children's|Musical|Romance,http://www.imdb.com/title/tt0114148/,Pocahontas (1995),6.7,G,PT1H21M,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical', 'Romance']",1995-06-23,Color,['USA'],"['English', 'Algonquin']","[' Walt Disney Pictures', ' Walt Disney Feature Animation']","{'director': ['Mike Gabriel', 'Eric Goldberg'], 'creator': ['Carl Binder', 'Susannah Grant', 'Philip LaZebnik', 'Glen Keane', 'Joe Grant', 'Ralph Zondag', 'Burny Mattinson', 'Ed Gombert', 'Kaan Kalyon', 'Francis Glebas', 'Rob Gibbs', 'Bruce Morris', 'Todd Kurosawa', 'Duncan Marjoribanks', 'Chris Buck', 'Andrew Chapman', 'Randy Cartwright', 'Will Finn', 'Broose Johnson', 'T. Daniel Hofstedt', 'David Pruiksma', 'Nik Ranieri', 'Vincent DeFrances', 'Tom Mazzocco', 'Don Dougherty', 'Jorgen Klubien', 'Mike Gabriel'], 'actor': ['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker']}"
48,49,When Night Is Falling (1995),Drama|Romance,http://www.imdb.com/title/tt0114916/,When Night Is Falling (1995),6.6,R,PT1H34M,"['Drama', 'Romance']",1995-05-05,Color,['Canada'],['English'],"[' Alliance Communications Corporation', ' Crucial Pictures', ' Ontario Film Development Corporation']","{'director': ['Patricia Rozema'], 'creator': ['Patricia Rozema'], 'actor': ['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'David Fox']}"
49,50,Silver Shamrocks vs The Usual Suspects ,Crime|Thriller,http://www.imdb.com/title/tt9422720/,"Usual Suspects, The (1995)",,,,Game-Show,2018-11-30,,[],[],[],"{'actor': ['Kaleb Koho', 'Paul Oyama', 'Lucas Schildbach', 'Dominic Rizzi']}"
50,51,Guardian Angel (1994),Action|Drama|Thriller,http://www.imdb.com/title/tt0109950/,Guardian Angel (1994),4.9,R,97 min,"['Action', 'Drama', 'Thriller']",1994-11-14,Color,['USA'],['English'],[' PM Entertainment Group'],"{'director': ['Richard W. Munchkin'], 'creator': ['Joe Hart'], 'actor': ['Cynthia Rothrock', 'Daniel McVicar', 'Lydie Denier', 'Marshall R. Teague']}"
51,52,Mighty Aphrodite (1995),Comedy,http://www.imdb.com/title/tt0113819/,Mighty Aphrodite (1995),7.1,R,PT1H35M,"['Comedy', 'Fantasy', 'Romance']",1995-11-10,Color,['USA'],"['English', 'Latin']","[' Sweetland Films', ' Magnolia Pictures', ' Miramax']","{'director': ['Woody Allen'], 'creator': ['Woody Allen'], 'actor': ['Woody Allen', 'Mira Sorvino', 'Pamela Blair', 'Rene Ceballos']}"
52,53,Lamerica (1994),Drama,http://www.imdb.com/title/tt0110299/,Lamerica (1994),7.6,,PT1H56M,Drama,1994-09-09,Color,"['Italy', 'France', 'Switzerland', 'Austria']","['Albanian', 'Italian']","[' Alia Film', ' Cecchi Gori Group Tiger Cinematografica', ' Arena Films']","{'director': ['Gianni Amelio'], 'creator': ['Gianni Amelio', 'Andrea Porporati', 'Alessandro Sermoneta'], 'actor': ['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli']}"
53,54,The Big Green (1995),Children's|Comedy,http://www.imdb.com/title/tt0112499/,"Big Green, The (1995)",5.6,PG,PT1H40M,"['Comedy', 'Family', 'Sport']",1995-09-29,Color,['USA'],['English'],"[' Caravan Pictures', ' Walt Disney Pictures']","{'director': ['Holly Goldberg Sloan'], 'creator': ['Holly Goldberg Sloan'], 'actor': ['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry']}"
54,55,Georgia (1995),Drama,http://www.imdb.com/title/tt0113158/,Georgia (1995),6.5,R,PT1H55M,"['Drama', 'Music']",1995-05-19,Color,"['USA', 'France']","['English', 'Hebrew']","[' CiBy 2000', ' Miramax']","{'director': ['Ulu Grosbard'], 'creator': ['Barbara Turner'], 'actor': ['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich']}"
55,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,http://www.imdb.com/title/tt0113541/,Kids of the Round Table (1995),5,Unrated,PT1H29M,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1995-12-15,Color,"['USA', 'Canada']",['English'],"[' Desert Music Pictures', ' Melenny Productions', ' Téléfilm Canada']","{'director': ['Robert Tinnell'], 'creator': ['David Sherman', 'Robert Tinnell'], 'actor': ['Johnny Morina', 'Maggie Castle', 'Christopher Olscamp', 'Justin Borntraeger']}"
